epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1637,0.87121,8.19527,1.21404,0.00042,1,0.02689,0.00843,1.65691,13.1834,1.73825,2e-05,2e-05,2e-05
2,19.2723,1.01193,7.26338,1.20982,0.00042,1,0.0995,0.03033,1.58545,13.1106,1.59784,5.8812e-05,5.8812e-05,5.8812e-05
3,28.5018,1.16905,11.3753,1.15773,0.00042,1,0.33167,0.13323,1.39354,10.9458,1.4531,9.604e-05,9.604e-05,9.604e-05
4,37.8026,1.03939,7.71239,1.10255,0.00042,1,0.4975,0.19958,1.21629,9.60596,1.42021,0.000131684,0.000131684,0.000131684
5,46.798,0.5585,6.99092,0.8433,0.00042,1,0.995,0.39859,1.2874,9.70134,1.54243,0.000165744,0.000165744,0.000165744
6,56.2499,1.2692,11.9004,1.27475,0.00042,1,0.995,0.29911,1.18643,10.2162,1.62467,0.00019822,0.00019822,0.00019822
7,65.9915,0.7856,4.51199,0.99381,0.00042,1,0.4975,0.05072,1.29134,9.90597,1.62553,0.000229112,0.000229112,0.000229112
8,75.1351,0.76434,7.22743,1.05755,0.00042,1,0.00668,0.00198,1.44748,12.0492,1.77581,0.00025842,0.00025842,0.00025842
9,84.1134,0.96338,4.67576,0.98315,0.00042,1,0.00748,0.00214,1.53912,11.8361,1.80318,0.000286144,0.000286144,0.000286144
10,92.9849,0.95365,3.85308,0.98395,0.00042,1,0.00743,0.00271,1.59812,11.3403,1.82548,0.000312284,0.000312284,0.000312284
11,101.756,0.79647,3.79779,1.07849,0.00042,1,0.0079,0.00264,1.63268,11.2119,1.83788,0.00033684,0.00033684,0.00033684
12,110.706,0.78663,3.94577,0.95863,0.00042,1,0.01036,0.00336,1.55416,13.6864,1.80712,0.000359812,0.000359812,0.000359812
13,119.474,0.84511,3.26714,0.93114,0.00042,1,0.01185,0.00367,1.59587,14.762,1.78066,0.0003812,0.0003812,0.0003812
14,128.369,0.82754,4.8957,0.93855,0.00042,1,0.01005,0.00302,1.82384,14.3953,1.88368,0.000401004,0.000401004,0.000401004
15,137.093,0.75653,3.48652,0.9372,0.00042,1,0.05528,0.00557,1.83382,13.7834,1.92207,0.000419224,0.000419224,0.000419224
16,145.878,0.83066,3.81268,0.99305,0.00042,1,0.00043,9e-05,1.90807,13.8735,2.02317,0.00043586,0.00043586,0.00043586
17,154.637,0.68983,4.15263,0.91657,0.00042,1,0.00042,0.00025,1.87472,12.4626,2.04416,0.000450912,0.000450912,0.000450912
18,163.581,0.97194,4.1295,1.04267,0.00042,1,0.00044,0.00029,1.74836,12.2285,1.99393,0.00046438,0.00046438,0.00046438
19,172.363,0.63476,4.65527,0.87432,0.00042,1,0.00042,0.00013,1.6677,12.9718,1.99404,0.000476264,0.000476264,0.000476264
20,181.302,0.92671,3.86334,0.96772,0.00042,1,0.00043,0.00034,1.65109,12.832,1.99856,0.000486564,0.000486564,0.000486564
21,190.12,0.88938,5.73315,0.885,0.00042,1,0.06633,0.01348,1.4698,11.3793,1.88597,0.00049528,0.00049528,0.00049528
22,198.966,0.92506,5.39803,1.02387,0.00042,1,0.12437,0.02522,1.61796,9.75933,1.82872,0.000502412,0.000502412,0.000502412
23,207.773,0.82994,4.54766,0.91432,0.00042,1,0.0995,0.02098,1.646,10.85,1.70781,0.00050796,0.00050796,0.00050796
24,216.644,0.79244,4.70841,0.97165,0.00042,1,0.03431,0.00781,1.40388,11.8523,1.69634,0.000511924,0.000511924,0.000511924
25,225.512,1.01407,6.67533,1.05585,0.00042,1,0.00829,0.00223,2.06114,9.84025,1.78675,0.000514304,0.000514304,0.000514304
26,234.339,0.64019,4.13128,0.87913,0.00042,1,0.00089,0.00028,2.78871,12.2333,2.45783,0.0005151,0.0005151,0.0005151
27,243.11,1.04043,5.29978,1.23321,0.00042,1,0.00349,0.0004,3.1103,9.8126,2.66252,0.000514312,0.000514312,0.000514312
28,251.791,0.89796,3.00959,1.07753,0.00042,1,0.00349,0.0004,3.1103,9.8126,2.66252,0.00051194,0.00051194,0.00051194
29,260.595,1.15661,6.94981,1.0683,0.00042,1,0.0032,0.00224,2.30466,24.711,2.44494,0.000507984,0.000507984,0.000507984
30,269.411,0.94656,3.81056,1.05154,0.00042,1,0.0085,0.00108,3.12068,10.6592,3.23127,0.000502444,0.000502444,0.000502444
31,278.288,1.1134,4.58214,1.09741,0.00042,1,0.0085,0.00108,3.12068,10.6592,3.23127,0.00049532,0.00049532,0.00049532
32,287.081,0.72679,3.65641,0.96638,0.00042,1,0.0023,0.00023,3.2628,10.1445,3.336,0.000486612,0.000486612,0.000486612
33,295.958,0.71804,3.10731,0.93461,0.00042,1,0.00203,0.00041,3.37103,13.055,3.03541,0.00047632,0.00047632,0.00047632
34,304.79,0.67581,3.59563,0.89567,0.00042,1,0.00203,0.00041,3.37103,13.055,3.03541,0.000464444,0.000464444,0.000464444
35,313.64,0.83205,3.02596,1.07184,0.00042,1,0.00159,0.00016,3.54374,12.5938,2.96365,0.000450984,0.000450984,0.000450984
36,322.601,0.74918,2.74165,0.87262,0.00042,1,0.00186,0.00037,3.59916,15.2582,3.0854,0.00043594,0.00043594,0.00043594
37,331.348,1.03833,6.73549,1.05757,0.00042,1,0.00186,0.00037,3.59916,15.2582,3.0854,0.000419312,0.000419312,0.000419312
