epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8328,0.90795,14.3839,1.34925,0.00042,1,0.33167,0.2985,0.28431,11.7248,0.78878,6e-05,6e-05,6e-05
2,41.4921,1.01817,14.0488,1.09897,0.00042,1,0.4975,0.398,0.68617,14.7371,0.87467,0.000138614,0.000138614,0.000138614
3,61.5599,1.46508,38.6757,1.49585,0.00042,1,0.995,0.6965,1.11727,13.2652,1.09156,0.000215644,0.000215644,0.000215644
4,81.5313,1.16116,14.3634,1.24538,0.00042,1,0.01036,0.00286,1.48023,18.2336,1.91539,0.00029109,0.00029109,0.00029109
5,101.646,0.84909,39.462,0.79609,0.00042,1,0.00088,0.00023,1.50688,20.7699,2.2274,0.000364952,0.000364952,0.000364952
6,121.539,1.42185,18.4726,1.64538,0.00042,1,0.00101,0.0003,1.31276,19.4062,2.31043,0.00043723,0.00043723,0.00043723
7,141.752,0.77874,36.8447,1.03256,0.00042,1,0.00582,0.00198,1.58099,27.5064,2.31424,0.000507924,0.000507924,0.000507924
8,161.753,1.28254,15.802,1.26506,0.00042,1,0.995,0.199,1.94224,20.5596,2.47458,0.000577034,0.000577034,0.000577034
9,181.912,0.98397,8.91757,1.17915,0.00042,1,0.995,0.0995,2.17282,21.2519,2.7229,0.00064456,0.00064456,0.00064456
10,201.85,0.77563,7.78325,0.98492,0.00042,1,0.00086,9e-05,2.57814,23.0209,2.89819,0.000710502,0.000710502,0.000710502
11,222.12,0.8952,7.47983,1.13664,0.00042,1,0.00102,0.00041,2.74485,25.0937,2.79642,0.00077486,0.00077486,0.00077486
12,242.463,0.98419,7.98234,1.08741,0.00042,1,0.02551,0.00796,2.49493,33.4772,2.38597,0.000837634,0.000837634,0.000837634
13,262.841,0.84442,7.01985,1.09833,0.00042,1,0.00298,0.00089,2.65725,24.8357,2.17449,0.000898824,0.000898824,0.000898824
14,282.927,1.22003,12.2817,1.39038,0.00042,1,0.00136,0.00051,3.13349,32.195,2.48815,0.00095843,0.00095843,0.00095843
15,303.701,1.03672,8.85683,1.15722,0.00042,1,0.00668,0.00134,2.91618,41.0423,2.44013,0.00101645,0.00101645,0.00101645
16,324.567,1.1592,9.09466,1.2769,0.00042,1,0.00668,0.00134,2.91618,41.0423,2.44013,0.00107289,0.00107289,0.00107289
17,345.506,1.13429,8.5227,1.36934,0.00042,1,0.02926,0.003,3.58502,25.4169,4.03375,0.00112774,0.00112774,0.00112774
18,365.93,1.0507,31.225,1.021,0.00042,1,0.00104,0.0001,3.70341,32.8756,3.39796,0.00118101,0.00118101,0.00118101
19,387.033,0.85143,10.551,1.11853,0.00042,1,0.00104,0.0001,3.70341,32.8756,3.39796,0.0012327,0.0012327,0.0012327
20,408.103,1.10978,7.12168,1.17876,0.00042,1,0.00104,0.0001,4.16823,22.8042,4.02626,0.0012828,0.0012828,0.0012828
21,428.989,0.94618,29.3223,0.94367,0.00042,1,0.00179,0.00018,4.23172,37.2274,4.10392,0.00133132,0.00133132,0.00133132
22,450.857,1.30968,12.1838,1.26484,0.00042,1,0.00179,0.00018,4.23172,37.2274,4.10392,0.00137825,0.00137825,0.00137825
23,472.174,1.16788,11.3119,1.15132,0.00042,1,0.00215,0.00064,3.64452,43.6682,3.01781,0.0014236,0.0014236,0.0014236
24,493.319,1.224,12.7631,1.40685,0.00042,1,0.00215,0.00064,3.64452,43.6682,3.01781,0.00146737,0.00146737,0.00146737
25,514.831,0.78383,33.4604,0.94633,0.00042,1,0.00301,0.0009,3.4819,48.1409,2.67404,0.00150955,0.00150955,0.00150955
26,535.588,1.08843,11.5589,1.44278,0.00042,1,0.00301,0.0009,3.4819,48.1409,2.67404,0.001505,0.001505,0.001505
27,556.573,1.08556,23.9861,1.22738,0.00042,1,0.00409,0.00058,3.41721,28.3746,3.14638,0.0014852,0.0014852,0.0014852
28,578.248,1.27618,6.18276,1.3953,0.00042,1,0.00409,0.00058,3.41721,28.3746,3.14638,0.0014654,0.0014654,0.0014654
29,601.913,1.19152,14.7799,1.35791,0.00507,1,0.01631,0.00432,3.38255,34.3,4.30715,0.0014456,0.0014456,0.0014456
